,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Tutóia,BR,-2.7619,-42.2744,77.94,85,100,9.22,overcast clouds
121,Kargasok,RU,59.0556,80.8572,19.17,85,100,7.49,overcast clouds
122,Hambantota,LK,6.1241,81.1185,89.94,43,20,11.5,few clouds
123,Half Moon Bay,US,37.4636,-122.4286,54.97,69,0,0.0,clear sky
124,Bontang,ID,0.1333,117.5,82.85,75,100,8.81,overcast clouds
125,Lebu,CL,-37.6167,-73.65,56.41,92,3,13.78,clear sky
126,Kenai,US,60.5544,-151.2583,27.03,93,100,4.61,overcast clouds
127,Tomatlán,MX,19.9333,-105.25,63.01,83,13,2.95,few clouds
128,Khatanga,RU,71.9667,102.5,-20.76,97,99,7.87,overcast clouds
129,Otjimbingwe,NA,-22.35,16.1333,78.6,54,96,1.5,overcast clouds
130,Dosso,NE,13.049,3.1937,68.14,17,0,16.11,clear sky
131,Quatre Cocos,MU,-20.2078,57.7625,81.09,76,100,15.32,light rain
132,Upernavik,GL,72.7868,-56.1549,-4.23,96,100,4.63,overcast clouds
133,Nishihara,JP,26.1842,127.7558,60.85,55,40,10.36,scattered clouds
134,Vanimo,PG,-2.6741,141.3028,82.0,80,87,9.37,overcast clouds
135,Distrikt Brokopondo,SR,4.75,-55.1667,74.71,92,100,5.32,moderate rain
136,George Town,MY,5.4112,100.3354,89.89,65,20,10.36,thunderstorm
137,Chui,UY,-33.6971,-53.4616,64.04,89,90,8.5,overcast clouds
138,Karpathos,GR,35.507,27.2132,60.76,72,20,3.44,few clouds
139,Iqaluit,CA,63.7506,-68.5145,-34.31,73,99,3.0,overcast clouds
140,Samus',RU,56.7475,84.6992,25.9,80,100,5.1,overcast clouds
141,Kuah,MY,6.3265,99.8432,84.49,67,58,9.24,broken clouds
142,Inírida,CO,3.8653,-67.9239,71.96,97,99,2.13,overcast clouds
143,Torbay,CA,47.6666,-52.7314,23.77,92,100,39.12,light snow
144,Härnösand,SE,62.6323,17.9379,32.0,94,100,13.62,overcast clouds
145,Tautira,PF,-17.7333,-149.15,82.42,76,40,21.94,light rain
146,Beloha,MG,-25.1667,45.05,76.14,86,100,24.85,light rain
147,Sur,OM,22.5667,59.5289,82.53,28,0,2.21,clear sky
148,Abū Zabad,SD,12.35,29.25,67.46,19,75,22.17,broken clouds
149,Lata,PT,40.1629,-8.3327,45.05,65,5,5.12,clear sky
150,Hornepayne,CA,49.2138,-84.7705,11.93,94,100,9.13,snow
151,Pontiac,US,42.6389,-83.2911,16.59,86,0,11.5,clear sky
