City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
104,Labuhan,-6.8844,112.2051,85.84,68,100,7.85,ID,2022-02-04 07:09:42
105,Uni,57.7535,51.4923,17.4,92,100,9.53,RU,2022-02-04 07:09:42
106,Kavieng,-2.5744,150.7967,83.39,72,34,9.8,PG,2022-02-04 07:09:05
107,Port Lincoln,-34.7333,135.8667,68.16,53,100,14.47,AU,2022-02-04 07:09:43
108,Faanui,-16.4833,-151.75,80.53,77,1,15.61,PF,2022-02-04 07:09:43
109,Georgetown,5.4112,100.3354,91.33,58,20,11.5,MY,2022-02-04 07:09:44
110,Conceicao Do Araguaia,-8.2578,-49.2647,71.1,96,96,2.68,BR,2022-02-04 07:09:44
111,Nouadhibou,20.931,-17.0347,67.78,53,4,7.81,MR,2022-02-04 07:09:45
112,Pozarevac,44.6153,21.1825,37.42,76,100,8.03,RS,2022-02-04 07:09:45
113,Muros,42.7762,-9.0603,52.99,93,99,7.81,ES,2022-02-04 07:09:46
114,Bambous Virieux,-20.3428,57.7575,83.21,83,98,20.33,MU,2022-02-04 07:09:46
115,Clyde River,70.4692,-68.5914,-5.57,84,100,33.38,CA,2022-02-04 07:08:36
116,Behat,30.1667,77.6167,51.08,73,97,0.69,IN,2022-02-04 07:09:48
117,Araouane,18.9048,-3.5265,59.04,16,0,9.78,ML,2022-02-04 07:09:49
118,Kaffrine,14.1059,-15.5508,70.05,13,0,8.66,SN,2022-02-04 07:09:49
119,Astara,38.5,48.6667,52.5,50,0,7.23,AZ,2022-02-04 07:09:50
120,Svetlogorsk,52.6333,29.7333,7.79,99,98,4.18,BY,2022-02-04 07:09:50
121,Marystown,47.1666,-55.1483,39.85,100,100,13.78,CA,2022-02-04 07:06:29
122,Kushmurun,52.4503,64.6311,17.4,82,100,14.29,KZ,2022-02-04 07:09:51
123,Saint George,37.1041,-113.5841,36.63,41,0,1.99,US,2022-02-04 07:05:38
124,Dikson,73.5069,80.5464,-10.21,96,100,3.18,RU,2022-02-04 07:09:52
125,Novokruchininskiy,51.7833,113.7667,13.6,70,19,6.82,RU,2022-02-04 07:09:52
126,Yellowknife,62.456,-114.3525,-35.54,100,49,3.27,CA,2022-02-04 07:06:44
127,Nieuw Amsterdam,5.8833,-55.0833,74.01,93,88,9.31,SR,2022-02-04 07:09:53
128,Sault Sainte Marie,46.5168,-84.3333,-3.71,50,0,4.61,CA,2022-02-04 07:07:18
129,Sinaloa,25.0,-107.5,59.11,66,0,3.02,MX,2022-02-04 07:09:54
130,Jiazi,22.8779,116.067,62.44,64,94,10.36,CN,2022-02-04 07:09:55
131,Chuy,-33.6971,-53.4616,68.56,95,100,5.28,UY,2022-02-04 07:09:55
132,Saint-Francois,46.4154,3.9054,41.41,87,100,4.61,FR,2022-02-04 07:06:36
133,La Ronge,55.1001,-105.2842,-27.89,100,7,4.59,CA,2022-02-04 07:09:56
134,Pitimbu,-7.4706,-34.8086,77.59,66,88,10.58,BR,2022-02-04 07:09:56
135,Victoria,22.2855,114.1577,67.24,67,78,1.01,HK,2022-02-04 07:10:57
136,Sitka,57.0531,-135.33,46.29,76,100,20.71,US,2022-02-04 07:10:57
137,Tasiilaq,65.6145,-37.6368,10.56,58,100,6.06,GL,2022-02-04 07:10:58
138,Mackay,-21.15,149.2,80.69,84,100,16.37,AU,2022-02-04 07:10:59
139,Sept-Iles,50.2001,-66.3821,1.06,62,100,4.0,CA,2022-02-04 07:10:59
140,Tuatapere,-46.1333,167.6833,54.82,88,100,2.46,NZ,2022-02-04 07:11:00
141,Olafsvik,64.8945,-23.7142,28.63,75,89,26.46,IS,2022-02-04 07:11:00
142,College,64.8569,-147.8028,3.52,55,75,8.05,US,2022-02-04 07:08:34
143,Mehamn,71.0357,27.8492,15.71,80,39,17.38,NO,2022-02-04 07:11:01
144,Ekibastuz,51.6667,75.3667,21.99,69,6,6.76,KZ,2022-02-04 07:11:01
145,Santiago,-33.4569,-70.6483,66.85,70,0,11.5,CL,2022-02-04 07:08:03
146,Aklavik,68.2191,-135.0107,-28.44,99,19,9.35,CA,2022-02-04 07:11:02
147,Upernavik,72.7868,-56.1549,5.63,74,100,3.83,GL,2022-02-04 07:11:03
148,Yatou,37.15,122.3833,29.23,63,97,15.03,CN,2022-02-04 07:11:03
149,Nishihara,26.1842,127.7558,61.88,77,75,20.71,JP,2022-02-04 07:11:04
150,At-Bashi,41.1702,75.8106,11.86,70,2,0.38,KG,2022-02-04 07:11:04
151,Ballina,-28.8667,153.5667,71.78,92,75,24.14,AU,2022-02-04 07:11:05
152,Narsaq,60.9167,-46.05,26.82,96,100,6.2,GL,2022-02-04 07:11:05
153,Jalu,29.0331,21.5482,51.91,59,5,12.88,LY,2022-02-04 07:11:06
154,Antofagasta,-23.65,-70.4,61.88,79,11,4.65,CL,2022-02-04 07:06:13
155,Port Elizabeth,-33.918,25.5701,70.11,59,83,11.05,ZA,2022-02-04 07:11:07
156,Iqaluit,63.7506,-68.5145,-14.78,76,100,15.37,CA,2022-02-04 07:09:31
157,Geraldton,-28.7667,114.6,97.21,17,0,16.11,AU,2022-02-04 07:11:08
158,Primorsk,46.7348,36.3443,31.46,81,100,14.05,UA,2022-02-04 07:11:08
159,Chimoio,-19.1164,33.4833,80.46,69,75,8.05,MZ,2022-02-04 07:11:08
160,Fairlie,55.756,-4.8556,40.91,86,100,7.0,GB,2022-02-04 07:11:09
161,Fare,-16.7,-151.0167,80.51,73,2,13.53,PF,2022-02-04 07:11:10
162,Kantilo,20.35,85.1833,80.46,46,25,8.97,IN,2022-02-04 07:11:10
163,Lavrentiya,65.5833,-171.0,4.64,49,0,24.49,RU,2022-02-04 07:11:11
164,Kaeo,-35.1,173.7833,72.32,93,90,9.42,NZ,2022-02-04 07:06:14
